[DEBUG] 2017-03-19 12:56:44,012 org.hibernate.type.BasicTypeRegistry register - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@63d4e2ba
[DEBUG] 2017-03-19 12:56:44,014 org.hibernate.type.BasicTypeRegistry register - Adding type registration url -> org.hibernate.type.UrlType@7cdbc5d3
[DEBUG] 2017-03-19 12:56:44,015 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.net.URL -> org.hibernate.type.UrlType@7cdbc5d3
[DEBUG] 2017-03-19 12:56:44,018 org.hibernate.type.BasicTypeRegistry register - Adding type registration date -> org.hibernate.type.DateType@2eee9593
[DEBUG] 2017-03-19 12:56:44,019 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.sql.Date -> org.hibernate.type.DateType@2eee9593
[DEBUG] 2017-03-19 12:56:44,022 org.hibernate.type.BasicTypeRegistry register - Adding type registration time -> org.hibernate.type.TimeType@6833ce2c
[DEBUG] 2017-03-19 12:56:44,024 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@6833ce2c
[DEBUG] 2017-03-19 12:56:44,027 org.hibernate.type.BasicTypeRegistry register - Adding type registration timestamp -> org.hibernate.type.TimestampType@6adca536
[DEBUG] 2017-03-19 12:56:44,028 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@6adca536
[DEBUG] 2017-03-19 12:56:44,029 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@6adca536
[DEBUG] 2017-03-19 12:56:44,031 org.hibernate.type.BasicTypeRegistry register - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@256216b3
[DEBUG] 2017-03-19 12:56:44,034 org.hibernate.type.BasicTypeRegistry register - Adding type registration calendar -> org.hibernate.type.CalendarType@1b40d5f0
[DEBUG] 2017-03-19 12:56:44,035 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@1b40d5f0
[DEBUG] 2017-03-19 12:56:44,036 org.hibernate.type.BasicTypeRegistry register - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@1b40d5f0
[DEBUG] 2017-03-19 12:56:44,038 org.hibernate.type.BasicTypeRegistry register - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@47f37ef1
[DEBUG] 2017-03-19 12:56:44,041 org.hibernate.type.BasicTypeRegistry register - Adding type registration locale -> org.hibernate.type.LocaleType@5e025e70
